locus	cds_index	gene	product	length_aa
KL324_ESC_GB2085AA_AS	30	?	hypothetical protein	405
KL324_ESC_GB2085AA_AS	31	cysE	Serine acetyltransferase	162
KL324_ESC_GB2085AA_AS	32	wcaN_2	D-inositol 3-phosphate glycosyltransferase	279
KL324_ESC_GB2085AA_AS	33	wzc	tyrosine-protein kinase	720
KL324_ESC_GB2085AA_AS	34	wzb	protein tyrosine phosphatase	147
KL324_ESC_GB2085AA_AS	35	wza	putative capsule polysaccharide export protein	374
KL325_ESC_BA3683AA_AS	0	wza	putative capsule polysaccharide export protein	379
KL325_ESC_BA3683AA_AS	1	wzb	protein tyrosine phosphatase	147
KL325_ESC_BA3683AA_AS	2	wzc	tyrosine-protein kinase	720
KL325_ESC_BA3683AA_AS	3	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL325_ESC_BA3683AA_AS	4	cysE	Serine acetyltransferase	162
KL325_ESC_BA3683AA_AS	5	?	hypothetical protein	405
KL325_ESC_BA3683AA_AS	6	?	hypothetical protein	405
KL325_ESC_BA3683AA_AS	7	?	hypothetical protein	248
KL325_ESC_BA3683AA_AS	8	wcqU	Putative acetyltransferase	182
KL325_ESC_BA3683AA_AS	9	gmd	GDP-D-mannose dehydratase	373
KL325_ESC_BA3683AA_AS	10	wcaG	GDP-fucose synthetase	321
KL325_ESC_BA3683AA_AS	11	gmm	GDP-mannose mannosyl hydrolase	160
KL325_ESC_BA3683AA_AS	12	wcaI	glycosyl transferase	407
KL325_ESC_BA3683AA_AS	13	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL325_ESC_BA3683AA_AS	14	manB	phosphomannomutase	456
KL325_ESC_BA3683AA_AS	15	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL325_ESC_BA3683AA_AS	16	wzx	flippase	492
KL325_ESC_BA3683AA_AS	17	wcuA	colanic acid biosynthesis protein	426
KL325_ESC_BA3683AA_AS	18	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL325_ESC_BA3683AA_AS	19	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL325_ESC_BA3683AA_AS	20	?	hypothetical protein	331
KL325_ESC_BA3683AA_AS	21	galF	UDP-glucose pyrophosphorylase	297
KL325_ESC_BA3683AA_AS	22	rmlB	dTDP-glucose 4,6-dehydratase 2	361
KL325_ESC_BA3683AA_AS	23	rmlA	Glucose-1-phosphate thymidylyltransferase 2	289
KL325_ESC_BA3683AA_AS	24	?	hypothetical protein	135
KL325_ESC_BA3683AA_AS	25	?	hypothetical protein	367
KL325_ESC_BA3683AA_AS	26	?	hypothetical protein	416
KL325_ESC_BA3683AA_AS	27	wcsD	hypothetical protein	179
KL325_ESC_BA3683AA_AS	28	?	hypothetical protein	306
KL325_ESC_BA3683AA_AS	29	?	hypothetical protein	426
KL325_ESC_BA3683AA_AS	30	?	hypothetical protein	360
KL325_ESC_BA3683AA_AS	31	?	hypothetical protein	307
KL325_ESC_BA3683AA_AS	32	wceM	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase	269
KL325_ESC_BA3683AA_AS	33	?	hypothetical protein	372
KL325_ESC_BA3683AA_AS	34	vatD	Streptogramin A acetyltransferase	160
KL325_ESC_BA3683AA_AS	35	gnd	gluconate-6-phosphate dehydrogenase	468
KL325_ESC_BA3683AA_AS	36	ugd	UDP-glucose 6-dehydrogenase	84
KL326_ESC_EC0660AA_AS	0	wza	putative capsule polysaccharide export protein	379
KL326_ESC_EC0660AA_AS	1	wzb	protein tyrosine phosphatase	147
KL326_ESC_EC0660AA_AS	2	wzc	tyrosine-protein kinase	720
KL326_ESC_EC0660AA_AS	3	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL326_ESC_EC0660AA_AS	4	cysE	Serine acetyltransferase	162
KL326_ESC_EC0660AA_AS	5	?	hypothetical protein	405
KL326_ESC_EC0660AA_AS	6	?	hypothetical protein	405
KL326_ESC_EC0660AA_AS	7	?	hypothetical protein	248
KL326_ESC_EC0660AA_AS	8	wcqU	Putative acetyltransferase	182
KL326_ESC_EC0660AA_AS	9	gmd	GDP-D-mannose dehydratase	373
KL326_ESC_EC0660AA_AS	10	wcaG	GDP-fucose synthetase	321
KL326_ESC_EC0660AA_AS	11	gmm	GDP-mannose mannosyl hydrolase	160
KL326_ESC_EC0660AA_AS	12	wcaI	glycosyl transferase	407
KL326_ESC_EC0660AA_AS	13	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL326_ESC_EC0660AA_AS	14	manB	phosphomannomutase	456
KL326_ESC_EC0660AA_AS	15	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL326_ESC_EC0660AA_AS	16	wzx	flippase	492
KL326_ESC_EC0660AA_AS	17	wcuA	colanic acid biosynthesis protein	426
KL326_ESC_EC0660AA_AS	18	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL326_ESC_EC0660AA_AS	19	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL326_ESC_EC0660AA_AS	20	galF	UDP-glucose pyrophosphorylase	297
KL326_ESC_EC0660AA_AS	21	?	hypothetical protein	374
KL326_ESC_EC0660AA_AS	22	rmlB	dTDP-glucose 4,6-dehydratase 2	361
KL326_ESC_EC0660AA_AS	23	rmlD	dTDP-4-dehydrorhamnose reductase	299
KL326_ESC_EC0660AA_AS	24	rmlA	Glucose-1-phosphate thymidylyltransferase 2	292
KL326_ESC_EC0660AA_AS	25	rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase	184
KL326_ESC_EC0660AA_AS	26	?	hypothetical protein	386
KL326_ESC_EC0660AA_AS	27	?	hypothetical protein	355
KL326_ESC_EC0660AA_AS	28	?	hypothetical protein	473
KL326_ESC_EC0660AA_AS	29	?	hypothetical protein	285
KL326_ESC_EC0660AA_AS	30	?	hypothetical protein	175
KL326_ESC_EC0660AA_AS	31	?	hypothetical protein	100
KL326_ESC_EC0660AA_AS	32	?	hypothetical protein	371
KL326_ESC_EC0660AA_AS	33	wctU	glycosyl transferase	352
KL326_ESC_EC0660AA_AS	34	gnd	gluconate-6-phosphate dehydrogenase	468
KL326_ESC_EC0660AA_AS	35	?	hypothetical protein	32
KL327_ESC_EC0767AA_AS	0	ugd	UDP-glucose 6-dehydrogenase	83
KL327_ESC_EC0767AA_AS	1	gnd	gluconate-6-phosphate dehydrogenase	468
KL327_ESC_EC0767AA_AS	2	?	hypothetical protein	285
KL327_ESC_EC0767AA_AS	3	?	hypothetical protein	43
KL327_ESC_EC0767AA_AS	4	?	hypothetical protein	85
KL327_ESC_EC0767AA_AS	5	?	hypothetical protein	203
KL327_ESC_EC0767AA_AS	6	?	hypothetical protein	117
KL327_ESC_EC0767AA_AS	7	?	hypothetical protein	401
KL327_ESC_EC0767AA_AS	8	wckS	UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase WfgD	260
KL327_ESC_EC0767AA_AS	9	?	hypothetical protein	374
KL327_ESC_EC0767AA_AS	10	wckZ	Glycosyl transferase family 2	332
KL327_ESC_EC0767AA_AS	11	wckD	putative glycosyltransferase	180
KL327_ESC_EC0767AA_AS	12	wcqZ	acetyltransferase	226
KL327_ESC_EC0767AA_AS	13	?	hypothetical protein	424
KL327_ESC_EC0767AA_AS	14	rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase	187
KL327_ESC_EC0767AA_AS	15	rmlA	Glucose-1-phosphate thymidylyltransferase 2	291
KL327_ESC_EC0767AA_AS	16	rmlD	dTDP-4-dehydrorhamnose reductase	299
KL327_ESC_EC0767AA_AS	17	rmlB	dTDP-glucose 4,6-dehydratase 2	361
KL327_ESC_EC0767AA_AS	18	galF	UDP-glucose pyrophosphorylase	297
KL327_ESC_EC0767AA_AS	19	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL327_ESC_EC0767AA_AS	20	wcaL	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL327_ESC_EC0767AA_AS	21	wcuA	colanic acid biosynthesis protein	426
KL327_ESC_EC0767AA_AS	22	wzx	flippase	492
KL327_ESC_EC0767AA_AS	23	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL327_ESC_EC0767AA_AS	24	manB	phosphomannomutase	456
KL327_ESC_EC0767AA_AS	25	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL327_ESC_EC0767AA_AS	26	wcaI	glycosyl transferase	407
KL327_ESC_EC0767AA_AS	27	gmm	GDP-mannose mannosyl hydrolase	160
KL327_ESC_EC0767AA_AS	28	wcaG	GDP-fucose synthetase	321
KL327_ESC_EC0767AA_AS	29	gmd	GDP-D-mannose dehydratase	373
KL327_ESC_EC0767AA_AS	30	wcqU	Putative acetyltransferase	182
KL327_ESC_EC0767AA_AS	31	?	hypothetical protein	248
KL327_ESC_EC0767AA_AS	32	?	hypothetical protein	405
KL327_ESC_EC0767AA_AS	33	?	hypothetical protein	405
KL327_ESC_EC0767AA_AS	34	cysE	Serine acetyltransferase	162
KL327_ESC_EC0767AA_AS	35	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL327_ESC_EC0767AA_AS	36	wzc	tyrosine-protein kinase	720
KL327_ESC_EC0767AA_AS	37	wzb	protein tyrosine phosphatase	147
KL327_ESC_EC0767AA_AS	38	wza	putative capsule polysaccharide export protein	379
KL328_ESC_HA5081AA_AS	0	ugd	UDP-glucose 6-dehydrogenase	83
KL328_ESC_HA5081AA_AS	1	gnd	gluconate-6-phosphate dehydrogenase	468
KL328_ESC_HA5081AA_AS	2	?	hypothetical protein	248
KL328_ESC_HA5081AA_AS	3	?	hypothetical protein	408
KL328_ESC_HA5081AA_AS	4	?	hypothetical protein	648
KL328_ESC_HA5081AA_AS	5	wcaN	D-inositol 3-phosphate glycosyltransferase	320
KL328_ESC_HA5081AA_AS	6	?	hypothetical protein	278
KL328_ESC_HA5081AA_AS	7	?	hypothetical protein	406
KL328_ESC_HA5081AA_AS	8	manB	phosphomannomutase	457
KL328_ESC_HA5081AA_AS	9	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	482
KL328_ESC_HA5081AA_AS	10	gmm	GDP-mannose mannosyl hydrolase	167
KL328_ESC_HA5081AA_AS	11	wcaG	GDP-fucose synthetase	321
KL328_ESC_HA5081AA_AS	12	gmd	GDP-D-mannose dehydratase	373
KL328_ESC_HA5081AA_AS	13	?	hypothetical protein	337
KL328_ESC_HA5081AA_AS	14	galF	UDP-glucose pyrophosphorylase	297
KL328_ESC_HA5081AA_AS	15	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL328_ESC_HA5081AA_AS	16	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL328_ESC_HA5081AA_AS	17	wcuA	colanic acid biosynthesis protein	426
KL328_ESC_HA5081AA_AS	18	wzx	flippase	492
KL328_ESC_HA5081AA_AS	19	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL328_ESC_HA5081AA_AS	20	manB_2	phosphomannomutase	456
KL328_ESC_HA5081AA_AS	21	manC_2	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL328_ESC_HA5081AA_AS	22	wcaI	glycosyl transferase	407
KL328_ESC_HA5081AA_AS	23	gmm_2	GDP-mannose mannosyl hydrolase	160
KL328_ESC_HA5081AA_AS	24	wcaG_2	GDP-fucose synthetase	321
KL328_ESC_HA5081AA_AS	25	gmd_2	GDP-D-mannose dehydratase	373
KL328_ESC_HA5081AA_AS	26	wcqU	Putative acetyltransferase	182
KL328_ESC_HA5081AA_AS	27	?	hypothetical protein	248
KL328_ESC_HA5081AA_AS	28	?	hypothetical protein	405
KL328_ESC_HA5081AA_AS	29	?	hypothetical protein	405
KL328_ESC_HA5081AA_AS	30	wcqN	Serine acetyltransferase	162
KL328_ESC_HA5081AA_AS	31	wcaN_2	D-inositol 3-phosphate glycosyltransferase	279
KL328_ESC_HA5081AA_AS	32	wzc	tyrosine-protein kinase	720
KL328_ESC_HA5081AA_AS	33	wzb	protein tyrosine phosphatase	147
KL328_ESC_HA5081AA_AS	34	wza	putative capsule polysaccharide export protein	379
KL329_ESC_TA7171AA_AS	0	?	hypothetical protein	107
KL329_ESC_TA7171AA_AS	1	galF	UDP-glucose pyrophosphorylase	297
KL329_ESC_TA7171AA_AS	2	rmlB	dTDP-glucose 4,6-dehydratase 2	361
KL329_ESC_TA7171AA_AS	3	rmlD	dTDP-4-dehydrorhamnose reductase	299
KL329_ESC_TA7171AA_AS	4	rmlA	Glucose-1-phosphate thymidylyltransferase 2	292
KL329_ESC_TA7171AA_AS	5	rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase	183
KL329_ESC_TA7171AA_AS	6	?	hypothetical protein	53
KL329_ESC_TA7171AA_AS	7	?	hypothetical protein	94
KL329_ESC_TA7171AA_AS	8	?	hypothetical protein	270
KL329_ESC_TA7171AA_AS	9	?	hypothetical protein	554
KL329_ESC_TA7171AA_AS	10	?	hypothetical protein	222
KL329_ESC_TA7171AA_AS	11	?	hypothetical protein	172
KL329_ESC_TA7171AA_AS	12	?	hypothetical protein	135
KL329_ESC_TA7171AA_AS	13	?	hypothetical protein	91
KL329_ESC_TA7171AA_AS	14	?	hypothetical protein	140
KL329_ESC_TA7171AA_AS	15	?	hypothetical protein	210
KL329_ESC_TA7171AA_AS	16	?	hypothetical protein	163
KL329_ESC_TA7171AA_AS	17	?	hypothetical protein	91
KL329_ESC_TA7171AA_AS	18	?	hypothetical protein	335
KL329_ESC_TA7171AA_AS	19	?	hypothetical protein	461
KL329_ESC_TA7171AA_AS	20	?	hypothetical protein	370
KL329_ESC_TA7171AA_AS	21	?	hypothetical protein	447
KL329_ESC_TA7171AA_AS	22	?	hypothetical protein	184
KL329_ESC_TA7171AA_AS	23	?	hypothetical protein	116
KL329_ESC_TA7171AA_AS	24	?	hypothetical protein	147
KL329_ESC_TA7171AA_AS	25	?	hypothetical protein	109
KL329_ESC_TA7171AA_AS	26	?	hypothetical protein	352
KL329_ESC_TA7171AA_AS	27	?	hypothetical protein	157
KL329_ESC_TA7171AA_AS	28	?	hypothetical protein	388
KL329_ESC_TA7171AA_AS	29	?	hypothetical protein	475
KL329_ESC_TA7171AA_AS	30	?	hypothetical protein	452
KL329_ESC_TA7171AA_AS	31	?	hypothetical protein	309
KL329_ESC_TA7171AA_AS	32	?	hypothetical protein	274
KL329_ESC_TA7171AA_AS	33	?	hypothetical protein	84
KL329_ESC_TA7171AA_AS	34	?	hypothetical protein	83
KL329_ESC_TA7171AA_AS	35	?	hypothetical protein	299
KL329_ESC_TA7171AA_AS	36	?	hypothetical protein	434
KL329_ESC_TA7171AA_AS	37	?	hypothetical protein	356
KL329_ESC_TA7171AA_AS	38	?	hypothetical protein	355
KL329_ESC_TA7171AA_AS	39	?	hypothetical protein	196
KL329_ESC_TA7171AA_AS	40	?	hypothetical protein	245
KL329_ESC_TA7171AA_AS	41	?	hypothetical protein	258
KL329_ESC_TA7171AA_AS	42	?	hypothetical protein	203
KL329_ESC_TA7171AA_AS	43	?	hypothetical protein	325
KL329_ESC_TA7171AA_AS	44	ugd	UDP-glucose 6-dehydrogenase	388
KL329_ESC_TA7171AA_AS	45	gnd	gluconate-6-phosphate dehydrogenase	468
KL329_ESC_TA7171AA_AS	46	?	hypothetical protein	136
KL330_ESC_LB3396AA_AS	0	wza	putative capsule polysaccharide export protein	379
KL330_ESC_LB3396AA_AS	1	wzb	protein tyrosine phosphatase	147
KL330_ESC_LB3396AA_AS	2	wzc	tyrosine-protein kinase	720
KL330_ESC_LB3396AA_AS	3	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL330_ESC_LB3396AA_AS	4	wcqN	Serine acetyltransferase	162
KL330_ESC_LB3396AA_AS	5	?	hypothetical protein	405
KL330_ESC_LB3396AA_AS	6	?	hypothetical protein	405
KL330_ESC_LB3396AA_AS	7	?	hypothetical protein	248
KL330_ESC_LB3396AA_AS	8	wcqU	Putative acetyltransferase	182
KL330_ESC_LB3396AA_AS	9	gmd	GDP-D-mannose dehydratase	373
KL330_ESC_LB3396AA_AS	10	wcaG	GDP-fucose synthetase	321
KL330_ESC_LB3396AA_AS	11	gmm	GDP-mannose mannosyl hydrolase	160
KL330_ESC_LB3396AA_AS	12	wcaI	glycosyl transferase	407
KL330_ESC_LB3396AA_AS	13	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL330_ESC_LB3396AA_AS	14	manB	phosphomannomutase	456
KL330_ESC_LB3396AA_AS	15	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL330_ESC_LB3396AA_AS	16	wzx	flippase	492
KL330_ESC_LB3396AA_AS	17	wcuA	colanic acid biosynthesis protein	426
KL330_ESC_LB3396AA_AS	18	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL330_ESC_LB3396AA_AS	19	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL330_ESC_LB3396AA_AS	20	galF	UDP-glucose pyrophosphorylase	297
KL330_ESC_LB3396AA_AS	21	rmlB	dTDP-glucose 4,6-dehydratase 2	358
KL330_ESC_LB3396AA_AS	22	rmlA	Glucose-1-phosphate thymidylyltransferase 2	287
KL330_ESC_LB3396AA_AS	23	rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase	183
KL330_ESC_LB3396AA_AS	24	?	hypothetical protein	112
KL330_ESC_LB3396AA_AS	25	?	hypothetical protein	445
KL330_ESC_LB3396AA_AS	26	?	hypothetical protein	374
KL330_ESC_LB3396AA_AS	27	?	hypothetical protein	378
KL330_ESC_LB3396AA_AS	28	?	hypothetical protein	358
KL330_ESC_LB3396AA_AS	29	wcqC	UDP-Glc:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-glucosyltransferase	271
KL330_ESC_LB3396AA_AS	30	wcsD	hypothetical protein	182
KL330_ESC_LB3396AA_AS	31	?	hypothetical protein	322
KL330_ESC_LB3396AA_AS	32	manC_2	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	476
KL330_ESC_LB3396AA_AS	33	manB_2	phosphomannomutase	454
KL330_ESC_LB3396AA_AS	34	gnd	gluconate-6-phosphate dehydrogenase	468
KL330_ESC_LB3396AA_AS	35	ugd	UDP-glucose 6-dehydrogenase	84
KL331_ESC_XA1123AA_AS	0	ugd	UDP-glucose 6-dehydrogenase	83
KL331_ESC_XA1123AA_AS	1	gnd	gluconate-6-phosphate dehydrogenase	468
KL331_ESC_XA1123AA_AS	2	?	hypothetical protein	478
KL331_ESC_XA1123AA_AS	3	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	469
KL331_ESC_XA1123AA_AS	4	?	hypothetical protein	382
KL331_ESC_XA1123AA_AS	5	wcuI	glycosyl transferase	362
KL331_ESC_XA1123AA_AS	6	?	hypothetical protein	370
KL331_ESC_XA1123AA_AS	7	wckZ	Glycosyl transferase family 2	323
KL331_ESC_XA1123AA_AS	8	wclH	Putative teichuronic acid biosynthesis glycosyltransferase	365
KL331_ESC_XA1123AA_AS	9	wzx	flippase	413
KL331_ESC_XA1123AA_AS	10	rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase	177
KL331_ESC_XA1123AA_AS	11	rmlA	Glucose-1-phosphate thymidylyltransferase 2	292
KL331_ESC_XA1123AA_AS	12	rmlD	dTDP-4-dehydrorhamnose reductase	299
KL331_ESC_XA1123AA_AS	13	rmlB	dTDP-glucose 4,6-dehydratase 2	361
KL331_ESC_XA1123AA_AS	14	galF	UDP-glucose pyrophosphorylase	297
KL331_ESC_XA1123AA_AS	15	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL331_ESC_XA1123AA_AS	16	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL331_ESC_XA1123AA_AS	17	wcuA	colanic acid biosynthesis protein	426
KL331_ESC_XA1123AA_AS	18	wzx_2	flippase	492
KL331_ESC_XA1123AA_AS	19	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL331_ESC_XA1123AA_AS	20	manB	phosphomannomutase	456
KL331_ESC_XA1123AA_AS	21	manC_2	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL331_ESC_XA1123AA_AS	22	wcaI	glycosyl transferase	407
KL331_ESC_XA1123AA_AS	23	gmm	GDP-mannose mannosyl hydrolase	160
KL331_ESC_XA1123AA_AS	24	wcaG	GDP-fucose synthetase	321
KL331_ESC_XA1123AA_AS	25	gmd	GDP-D-mannose dehydratase	373
KL331_ESC_XA1123AA_AS	26	wcqU	Putative acetyltransferase	182
KL331_ESC_XA1123AA_AS	27	?	hypothetical protein	248
KL331_ESC_XA1123AA_AS	28	?	hypothetical protein	406
KL331_ESC_XA1123AA_AS	29	?	hypothetical protein	405
KL331_ESC_XA1123AA_AS	30	wcqN	Serine acetyltransferase	162
KL331_ESC_XA1123AA_AS	31	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL331_ESC_XA1123AA_AS	32	wzc	tyrosine-protein kinase	720
KL331_ESC_XA1123AA_AS	33	wzb	protein tyrosine phosphatase	147
KL331_ESC_XA1123AA_AS	34	wza	putative capsule polysaccharide export protein	379
KL332_ESC_CC2683AA_AS	0	ugd	UDP-glucose 6-dehydrogenase	83
KL332_ESC_CC2683AA_AS	1	gnd	gluconate-6-phosphate dehydrogenase	468
KL332_ESC_CC2683AA_AS	2	wcsH	Putative glycosyltransferase EpsE	263
KL332_ESC_CC2683AA_AS	3	?	hypothetical protein	391
KL332_ESC_CC2683AA_AS	4	?	hypothetical protein	284
KL332_ESC_CC2683AA_AS	5	?	hypothetical protein	409
KL332_ESC_CC2683AA_AS	6	?	hypothetical protein	283
KL332_ESC_CC2683AA_AS	7	?	hypothetical protein	252
KL332_ESC_CC2683AA_AS	8	?	hypothetical protein	79
KL332_ESC_CC2683AA_AS	9	gmm	GDP-mannose mannosyl hydrolase	158
KL332_ESC_CC2683AA_AS	10	wcaG	GDP-fucose synthetase	321
KL332_ESC_CC2683AA_AS	11	gmd	GDP-D-mannose dehydratase	373
KL332_ESC_CC2683AA_AS	12	wcuF	glycosyl transferase	338
KL332_ESC_CC2683AA_AS	13	?	hypothetical protein	339
KL332_ESC_CC2683AA_AS	14	galF	UDP-glucose pyrophosphorylase	297
KL332_ESC_CC2683AA_AS	15	?	hypothetical protein	331
KL332_ESC_CC2683AA_AS	16	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL332_ESC_CC2683AA_AS	17	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL332_ESC_CC2683AA_AS	18	wcuA	colanic acid biosynthesis protein	426
KL332_ESC_CC2683AA_AS	19	wzx	flippase	492
KL332_ESC_CC2683AA_AS	20	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL332_ESC_CC2683AA_AS	21	manB	phosphomannomutase	456
KL332_ESC_CC2683AA_AS	22	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL332_ESC_CC2683AA_AS	23	wcaI	glycosyl transferase	407
KL332_ESC_CC2683AA_AS	24	gmm_2	GDP-mannose mannosyl hydrolase	160
KL332_ESC_CC2683AA_AS	25	wcaG_2	GDP-fucose synthetase	321
KL332_ESC_CC2683AA_AS	26	gmd_2	GDP-D-mannose dehydratase	373
KL332_ESC_CC2683AA_AS	27	wcqU	Putative acetyltransferase	182
KL332_ESC_CC2683AA_AS	28	?	hypothetical protein	248
KL332_ESC_CC2683AA_AS	29	?	hypothetical protein	405
KL332_ESC_CC2683AA_AS	30	?	hypothetical protein	405
KL332_ESC_CC2683AA_AS	31	wcqN	Serine acetyltransferase	162
KL332_ESC_CC2683AA_AS	32	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL332_ESC_CC2683AA_AS	33	wzc	tyrosine-protein kinase	720
KL332_ESC_CC2683AA_AS	34	wzb	protein tyrosine phosphatase	147
KL332_ESC_CC2683AA_AS	35	wza	putative capsule polysaccharide export protein	379
KL333_ESC_GB4167AA_AS	0	ugd	UDP-glucose 6-dehydrogenase	83
KL333_ESC_GB4167AA_AS	1	gnd	gluconate-6-phosphate dehydrogenase	468
KL333_ESC_GB4167AA_AS	2	?	hypothetical protein	302
KL333_ESC_GB4167AA_AS	3	?	hypothetical protein	364
KL333_ESC_GB4167AA_AS	4	?	hypothetical protein	353
KL333_ESC_GB4167AA_AS	5	wclI	Glycosyl transferase family 2	297
KL333_ESC_GB4167AA_AS	6	?	hypothetical protein	192
KL333_ESC_GB4167AA_AS	7	?	hypothetical protein	43
KL333_ESC_GB4167AA_AS	8	?	hypothetical protein	329
KL333_ESC_GB4167AA_AS	9	glf	UDP-galactopyranose mutase	363
KL333_ESC_GB4167AA_AS	10	wzx	flippase	412
KL333_ESC_GB4167AA_AS	11	rmlC	dTDP-4-dehydrorhamnose 3,5-epimerase	184
KL333_ESC_GB4167AA_AS	12	rmlA	Glucose-1-phosphate thymidylyltransferase 2	291
KL333_ESC_GB4167AA_AS	13	rmlD	dTDP-4-dehydrorhamnose reductase	299
KL333_ESC_GB4167AA_AS	14	rmlB	dTDP-glucose 4,6-dehydratase 2	361
KL333_ESC_GB4167AA_AS	15	galF	UDP-glucose pyrophosphorylase	297
KL333_ESC_GB4167AA_AS	16	wcaM	wcaM putative colanic acid biosynthesis protein	464
KL333_ESC_GB4167AA_AS	17	wbaZ	GDP-mannose-dependent alpha-(1-6)-phosphatidylinositol monomannoside mannosyltransferase	406
KL333_ESC_GB4167AA_AS	18	wcuA	colanic acid biosynthesis protein	426
KL333_ESC_GB4167AA_AS	19	wzx_2	flippase	492
KL333_ESC_GB4167AA_AS	20	wcaJ	UDP-phosphate galactose phosphotransferase	464
KL333_ESC_GB4167AA_AS	21	manB	phosphomannomutase	456
KL333_ESC_GB4167AA_AS	22	manC	mannose-1-phosphate guanylyltransferase/mannose-6-phosphate isomerase	478
KL333_ESC_GB4167AA_AS	23	wcaI	glycosyl transferase	407
KL333_ESC_GB4167AA_AS	24	gmm	GDP-mannose mannosyl hydrolase	160
KL333_ESC_GB4167AA_AS	25	wcaG	GDP-fucose synthetase	321
KL333_ESC_GB4167AA_AS	26	gmd	GDP-D-mannose dehydratase	373
KL333_ESC_GB4167AA_AS	27	wcqU	Putative acetyltransferase	182
KL333_ESC_GB4167AA_AS	28	?	hypothetical protein	248
KL333_ESC_GB4167AA_AS	29	?	hypothetical protein	405
KL333_ESC_GB4167AA_AS	30	?	hypothetical protein	405
KL333_ESC_GB4167AA_AS	31	wcqN	Serine acetyltransferase	162
KL333_ESC_GB4167AA_AS	32	wcaN	D-inositol 3-phosphate glycosyltransferase	279
KL333_ESC_GB4167AA_AS	33	wzc	tyrosine-protein kinase	720
KL333_ESC_GB4167AA_AS	34	wzb	protein tyrosine phosphatase	147
KL333_ESC_GB4167AA_AS	35	wza	putative capsule polysaccharide export protein	379
KL334_ESC_XA1035AA_AS	0	ugd	UDP-glucose 6-dehydrogenase	83
KL334_ESC_XA1035AA_AS	1	gnd	gluconate-6-phosphate dehydrogenase	468
KL334_ESC_XA1035AA_AS	2	wceM	UDP-Gal:alpha-D-GlcNAc-diphosphoundecaprenol beta-1,3-galactosyltransferase	270
KL334_ESC_XA1035AA_AS	3	wcmY	Glycosyl transferase family 2	295
KL334_ESC_XA1035AA_AS	4	?	hypothetical protein	411
KL334_ESC_XA1035AA_AS	5	wcsF	glycosyl transferase	380
KL334_ESC_XA1035AA_AS	6	wcqF	polysaccharide pyruvyl transferase	367
