Assembly	Collection	Best_match_locus	Capsule_group	Confidence	Norm_AS	Genes_found	Genes_expected	Gene_coverage	Raw_AS	Typeable
BS11980I1_complete	MRCG	KL130	G2/G3	High	1.9843	13	13	100.0%	27544	True
BS11992I1_complete	MRCG	KL130	G2/G3	High	1.9843	13	13	100.0%	27544	True
BS12249I1_complete	MRCG	KL130	G2/G3	High	1.9692	13	13	100.0%	27334	True
BS12589I1_complete	MRCG	KL2	G2/G3	High	1.9986	13	13	100.0%	33426	True
BS12611I1_complete	MRCG	KL305	G1/G4	High	1.9993	47	47	100.0%	81216	True
BS12630I1_complete	MRCG	KL130	G2/G3	High	1.9709	13	13	100.0%	27358	True
BS12952I1_complete	MRCG	KL301	G1/G4	Moderate	1.7766	29	33	87.9%	53836	True
BS13024I1_complete	MRCG	KL305	G1/G4	High	1.9993	47	47	100.0%	81216	True
BS13052I1_incomplete	MRCG	KL130	G2/G3	High	1.9366	13	13	100.0%	26882	True
BS13129I1_complete	MRCG	KL305	G1/G4	High	1.9993	47	47	100.0%	81216	True
BS13132I1_incomplete	MRCG	KL130	G2/G3	High	1.9718	13	13	100.0%	27370	True
BS13375I1_incomplete	MRCG	KL130	G2/G3	High	1.9703	13	13	100.0%	27350	True
BS13377I1_incomplete	MRCG	KL302	G1/G4	Moderate	1.8363	33	34	97.1%	56108	True
BS13488I1_incomplete	MRCG	KL130	G2/G3	High	1.9709	13	13	100.0%	27358	True
BS13775I1_incomplete	MRCG	KL302	G1/G4	Moderate	1.7533	31	34	91.2%	53572	True
BS14301I1_incomplete	MRCG	KL118	G2/G3	Moderate	1.8781	12	12	100.0%	26470	True
BS14827I1_incomplete	MRCG	KL127	G2/G3	High	1.9977	14	14	100.0%	28342	True
BS15452I1_incomplete	MRCG	KL130	G2/G3	High	1.9588	13	13	100.0%	27190	True
BS15909I1_incomplete	MRCG	KL379	G1/G4	High	1.9808	25	25	100.0%	52078	True
BS17304I1_complete	MRCG	KL12	G2/G3	High	2.0	12	12	100.0%	32064	True
BS17350I1_incomplete	MRCG	KL93	G2/G3	Moderate	1.8987	15	15	100.0%	36478	True
BS18501I1_incomplete	MRCG	KL1	G2/G3	High	1.9591	14	14	100.0%	30756	True
BS19299I1_complete	MRCG	KL130	G2/G3	High	1.9722	13	13	100.0%	27376	True
BS19355I1_complete	MRCG	KL302	G1/G4	Moderate	1.8349	33	34	97.1%	56064	True
BS19428I1_complete	MRCG	KL96	G2/G3	High	1.9991	17	17	100.0%	41016	True
BS20257I1_incomplete	MRCG	KL2	G2/G3	High	1.9964	13	13	100.0%	33390	True
BS20407I1_incomplete	MRCG	KL302	G1/G4	Moderate	1.8306	33	34	97.1%	55934	True
BS20621I1_complete	MRCG	KL138	G2/G3	High	1.9993	12	12	100.0%	30056	True
BS20855I1_incomplete	MRCG	KL2	G2/G3	High	1.9986	13	13	100.0%	33426	True
BS20867I1_incomplete	MRCG	KL2	G2/G3	High	1.9982	13	13	100.0%	33420	True
BS21404I1_incomplete	MRCG	KL302	G1/G4	Moderate	1.8021	33	34	97.1%	55062	True
BS21490I1_complete	MRCG	KL138	G2/G3	High	1.9993	12	12	100.0%	30056	True
BS21503I1_complete	MRCG	KL2	G2/G3	High	1.9986	13	13	100.0%	33426	True
BS21992I1_complete	MRCG	KL302	G1/G4	Moderate	1.8372	33	34	97.1%	56136	True
BS22334I1_incomplete	MRCG	KL379	G1/G4	High	1.9948	25	25	100.0%	52448	True
BS22559I1_incomplete	MRCG	KL12	G2/G3	High	1.9778	12	12	100.0%	31708	True
BS22832I1_incomplete	MRCG	KL379	G1/G4	High	1.9923	25	25	100.0%	52382	True
BS22957I1_complete	MRCG	KL2	G2/G3	High	1.9978	13	13	100.0%	33414	True
BS22995I1_complete	MRCG	KL1	G2/G3	High	1.9992	14	14	100.0%	31386	True
BS23040I1_complete	MRCG	KL379	G1/G4	High	1.9944	25	25	100.0%	52436	True
BS23116I1_incomplete	MRCG	KL12	G2/G3	High	1.9848	12	12	100.0%	31820	True
BS23835I1_complete	MRCG	KL130	G2/G3	High	1.9843	13	13	100.0%	27544	True
BS24340I1_complete	MRCG	KL130	G2/G3	High	1.9852	13	13	100.0%	27556	True
BS24664I1_complete	MRCG	KL302	G1/G4	Moderate	1.8246	33	34	97.1%	55752	True
BS25445I1_incomplete	MRCG	KL1	G2/G3	High	1.9968	14	14	100.0%	31348	True
BS25482I1_incomplete	MRCG	KL2	G2/G3	Moderate	1.8578	13	13	100.0%	31072	True
BS25919I1_incomplete	MRCG	KL379	G1/G4	High	1.9955	25	25	100.0%	52466	True
BS26331I1_complete	MRCG	KL361	G1/G4	High	1.9468	28	28	100.0%	55812	True
BS27211I1_complete	MRCG	KL2	G2/G3	Moderate	1.8578	13	13	100.0%	31072	True
BS27332I1_incomplete	MRCG	KL305	G1/G4	High	1.9991	47	47	100.0%	81210	True
BS28697I1_complete	MRCG	KL2	G2/G3	High	1.9982	13	13	100.0%	33420	True
BS28789I1_complete	MRCG	KL96	G2/G3	High	1.9991	17	17	100.0%	41016	True
BS29182I1_complete	MRCG	KL16	G2/G3	High	1.9991	11	11	100.0%	27216	True
BS29858I1_complete	MRCG	KL1	G2/G3	High	1.9557	14	14	100.0%	30702	True
BS30408I1_complete	MRCG	KL130	G2/G3	High	1.9597	13	13	100.0%	27202	True
BS30625I1_complete	MRCG	KL52	G2/G3	High	1.9991	14	14	100.0%	38376	True
BS30644I1_complete	MRCG	KL319	G1/G4	High	1.9833	28	28	100.0%	63028	True
BS30785I1_complete	MRCG	KL337	G1/G4	Low	1.4647	30	38	78.9%	41818	True
BS30922I1_complete	MRCG	KL2	G2/G3	Moderate	1.8578	13	13	100.0%	31072	True
BS30924I1_complete	MRCG	KL2	G2/G3	High	1.9978	13	13	100.0%	33414	True
BS31928I1_incomplete	MRCG	KL20	G2/G3	High	1.9907	11	11	100.0%	26618	True
BS32081I1_incomplete	MRCG	KL302	G1/G4	Moderate	1.7522	31	34	91.2%	53538	True
BS32093I1_complete	MRCG	KL130	G2/G3	High	1.9882	13	13	100.0%	27598	True
BS32600I1_complete	MRCG	KL15	G2/G3	High	1.9765	15	15	100.0%	30816	True
BS32741I1_incomplete	MRCG	KL2	G2/G3	High	1.9977	13	13	100.0%	33412	True
BS32793I1_incomplete	MRCG	KL2	G2/G3	High	1.9986	13	13	100.0%	33426	True
BS33009I1_incomplete	MRCG	KL114	G2/G3	Moderate	1.8503	11	11	100.0%	22970	True
BS33127I1_incomplete	MRCG	KL117	G2/G3	High	1.9991	10	10	100.0%	27552	True
BS34375I1_incomplete	MRCG	KL2	G2/G3	Moderate	1.8573	13	13	100.0%	31064	True
BS34485I1_incomplete	MRCG	KL174	G2/G3	Moderate	1.8318	15	15	100.0%	27878	True
FF31_01-0001-00.1	Mbira	KL1	G2/G3	Moderate	1.6028	13	14	92.9%	25162	True
FF31_01-0002-00.1	Mbira	KL329	G1/G4	High	1.9993	44	44	100.0%	66164	True
FF31_01-0022-00.1	Mbira	KL379	G1/G4	High	1.9885	25	25	100.0%	52282	True
FF31_01-0044-00.1	Mbira	KL303	G1/G4	Low	1.3634	32	40	80.0%	40493	True
FF31_01-0060-00-ESC.1	Mbira	KL158	G2/G3	Low	0.6003	5	10	50.0%	6388	True
FF31_01-0079-00.1	Mbira	KL127	G2/G3	High	1.988	14	14	100.0%	28204	True
FF31_01-0081-00.1	Mbira	KL127	G2/G3	Low	0.7114	8	14	57.1%	10092	True
FF31_01-0085-00.1	Mbira	KL329	G1/G4	High	1.9997	44	44	100.0%	66176	True
FF31_01-0094-00.1	Mbira	KL138	G2/G3	High	1.9993	12	12	100.0%	30056	True
FF31_01-0103-00.1	Mbira	KL52	G2/G3	High	2.0	14	14	100.0%	38394	True
FF31_01-0120-00.1	Mbira	KL142	G2/G3	High	1.9228	11	11	100.0%	28358	True
FF32_04-0145-00	Mbira	KL303	G1/G4	Low	1.3456	33	40	82.5%	39963	True
FF32_04-0146-00-A.1	Mbira	KL127	G2/G3	High	1.9977	14	14	100.0%	28342	True
FF32_04-0147-00.1	Mbira	KL143	G2/G3	High	1.9846	19	19	100.0%	47250	True
FF33_06-0033-00	Mbira	KL130	G2/G3	Moderate	1.7234	13	13	100.0%	23922	True
FF33_06-0037-00	Mbira	KL303	G1/G4	Low	1.304	34	40	85.0%	38728	True
FF33_06-0038-00	Mbira	KL96	G2/G3	High	1.9991	17	17	100.0%	41016	True
FF33_06-0053-00	Mbira	KL319	G1/G4	High	1.9021	28	28	100.0%	60448	True
FF33_06-0064-00	Mbira	KL96	G2/G3	High	1.9991	17	17	100.0%	41016	True
FF33_06-0093-00	Mbira	KL329	G1/G4	High	1.9995	44	44	100.0%	66170	True
FF33_06-0108-00	Mbira	KL1	G2/G3	High	1.9992	14	14	100.0%	31386	True
FF33_06-0125-00	Mbira	KL302	G1/G4	Moderate	1.7786	31	34	91.2%	54344	True
FF33_06-0131-00	Mbira	KL127	G2/G3	High	1.9982	14	14	100.0%	28348	True
FF34_10-0066-00	Mbira	KL337	G1/G4	Moderate	1.6479	32	38	84.2%	47048	True
FF34_10-0106-00	Mbira	KL127	G2/G3	High	1.9973	14	14	100.0%	28336	True
FF34_10-0107-00-B	Mbira	KL336	G1/G4	High	1.9605	28	28	100.0%	60490	True
FF34_10-0108-00	Mbira	KL138	G2/G3	High	1.9972	12	12	100.0%	30024	True
FF35_08-0015-00	Mbira	KL303	G1/G4	Moderate	1.5133	34	40	85.0%	44944	True
FF35_08-0016-00-A	Mbira	KL302	G1/G4	Moderate	1.8741	33	34	97.1%	57262	True
FF35_08-0026-00	Mbira	KL131	G2/G3	High	1.9957	13	13	100.0%	33474	True
FF35_08-0089-00-A	Mbira	KL13	G2/G3	High	2.0	10	10	100.0%	26730	True
FF35_08-0117-00	Mbira	KL323	G1/G4	High	1.9019	32	32	100.0%	61696	True
FF35_08-0140-00B	Mbira	KL302	G1/G4	Moderate	1.8347	33	34	97.1%	56060	True
FF35_08-0152-00	Mbira	KL301	G1/G4	Moderate	1.5019	25	33	75.8%	45512	True
FF36_11-0002-00	Mbira	KL329	G1/G4	High	1.9991	44	44	100.0%	66156	True
FF36_11-0006-00	Mbira	KL52	G2/G3	High	1.9991	14	14	100.0%	38376	True
FF36_11-0041-00	Mbira	KL114	G2/G3	High	1.9995	11	11	100.0%	24822	True
FF36_11-0095-00	Mbira	KL303	G1/G4	Low	1.4593	31	40	77.5%	43340	True
FF36_11-0096-00	Mbira	KL301	G1/G4	Moderate	1.8407	32	33	97.0%	55778	True
FF36_11-0101-00	Mbira	KL2	G2/G3	High	1.9986	13	13	100.0%	33426	True
FF36_11-0114-00-B	Mbira	KL302	G1/G4	Moderate	1.8083	33	34	97.1%	55254	True
FF36_11-0124-00	Mbira	KL303	G1/G4	Low	1.4593	31	40	77.5%	43340	True
FF36_11-0125-00	Mbira	KL130	G2/G3	High	1.9718	13	13	100.0%	27370	True
FF36_11-0133-00	Mbira	KL12	G2/G3	High	1.9996	12	12	100.0%	32058	True
FF36_11-0142-00	Mbira	KL7	G2/G3	Moderate	1.8985	15	15	100.0%	32760	True
FF36_11-0150-00	Mbira	KL329	G1/G4	High	1.9997	44	44	100.0%	66176	True
FF36_11-0165-00	Mbira	KL362	G1/G4	Moderate	1.8859	26	26	100.0%	54494	True
FF36_11-0167-00	Mbira	KL361	G1/G4	Moderate	1.8716	28	28	100.0%	53656	True
FFKC_006EC.1	Mbira	KL168	G2/G3	Moderate	1.8225	18	18	100.0%	39438	True
FFKC_011EC.1	Mbira	KL371	G1/G4	High	1.9343	25	25	100.0%	52668	True
FFKC_021EC.1	Mbira	KL1	G2/G3	High	1.9992	14	14	100.0%	31386	True
FFKC_109EC.1	Mbira	KL348	G1/G4	Moderate	1.757	27	27	100.0%	52050	True
FFKC_10BEC.1	Mbira	KL127	G2/G3	High	1.9973	14	14	100.0%	28336	True
FFKC_111EC.1	Mbira	KL130	G2/G3	High	1.986	13	13	100.0%	27568	True
FFKC_116EC.1	Mbira	KL20	G2/G3	High	1.999	11	11	100.0%	26728	True
FFKC_119EC.1	Mbira	KL14	G2/G3	High	1.9239	11	11	100.0%	25638	True
FFKC_310SA.1	Mbira	KL7	G2/G3	High	1.9405	15	15	100.0%	33486	True
ERR10894018	Mlw	KL52	G2/G3	High	1.9991	14	14	100.0%	38376	True
ERR11506654	Mlw	KL135	G2/G3	High	1.9963	11	11	100.0%	25824	True
ERR11506655	Mlw	KL96	G2/G3	High	1.9988	17	17	100.0%	41010	True
ERR11506656	Mlw	KL12	G2/G3	High	2.0	12	12	100.0%	32064	True
ERR11506657	Mlw	KL2	G2/G3	High	1.9989	13	13	100.0%	33432	True
ERR11506658	Mlw	KL12	G2/G3	High	1.9996	12	12	100.0%	32058	True
ERR11506659	Mlw	KL117	G2/G3	High	1.9991	10	10	100.0%	27552	True
ERR11506660	Mlw	KL2	G2/G3	High	1.9982	13	13	100.0%	33420	True
ERR11506661	Mlw	KL302	G1/G4	Moderate	1.792	31	34	91.2%	54754	True
ERR11506663	Mlw	KL329	G1/G4	Moderate	1.5444	34	44	77.3%	51108	True
ERR11506664	Mlw	KL82	G2/G3	High	2.0	11	11	100.0%	26544	True
ERR11506665	Mlw	KL302	G1/G4	Moderate	1.8333	33	34	97.1%	56018	True
ERR11506667	Mlw	KL379	G1/G4	High	1.938	25	25	100.0%	50954	True
ERR11506668	Mlw	KL96	G2/G3	High	1.9991	17	17	100.0%	41016	True
ERR11506669	Mlw	KL303	G1/G4	Moderate	1.5351	36	40	90.0%	45592	True
ERR11506670	Mlw	KL96	G2/G3	High	1.9988	17	17	100.0%	41010	True
ERR11506672	Mlw	KL130	G2/G3	High	1.986	13	13	100.0%	27568	True
ERR11506674	Mlw	KL52	G2/G3	High	1.9991	14	14	100.0%	38376	True
ERR11506676	Mlw	KL1	G2/G3	High	1.9992	14	14	100.0%	31386	True
ERR11506678	Mlw	KL130	G2/G3	High	1.9718	13	13	100.0%	27370	True
ERR11506684	Mlw	KL302	G1/G4	Moderate	1.8329	33	34	97.1%	56004	True
ERR11506686	Mlw	KL127	G2/G3	High	1.9986	14	14	100.0%	28354	True
ERR11506687	Mlw	KL52	G2/G3	High	1.9207	14	14	100.0%	36872	True
ERR11506688	Mlw	KL303	G1/G4	Moderate	1.5369	36	40	90.0%	45646	True
ERR11506689	Mlw	KL388	G1/G4	Moderate	1.8948	30	30	100.0%	60198	True
ERR11506690	Mlw	KL152	G2/G3	High	1.9998	19	19	100.0%	48024	True
ERR11506691	Mlw	KL306	G1/G4	High	1.9901	31	31	100.0%	62904	True
ERR11506692	Mlw	KL302	G1/G4	Moderate	1.7786	31	34	91.2%	54344	True
ERR11506693	Mlw	KL301	G1/G4	Moderate	1.8956	32	33	97.0%	57442	True
ERR11506694	Mlw	KL2	G2/G3	High	1.9986	13	13	100.0%	33426	True
ERR11506695	Mlw	KL302	G1/G4	Moderate	1.7918	31	34	91.2%	54748	True
ERR11506696	Mlw	KL131	G2/G3	High	1.9921	13	13	100.0%	33414	True
ERR11506697	Mlw	KL302	G1/G4	Moderate	1.8457	33	34	97.1%	56394	True
ERR11506698	Mlw	KL332	G1/G4	High	1.9976	30	30	100.0%	59802	True
ERR11506700	Mlw	KL302	G1/G4	Moderate	1.8291	33	34	97.1%	55888	True
ERR11506702	Mlw	KL302	G1/G4	Moderate	1.799	31	34	91.2%	54968	True
ERR11506704	Mlw	KL127	G2/G3	High	1.9507	14	14	100.0%	27674	True
ERR11506706	Mlw	KL302	G1/G4	Moderate	1.803	32	34	94.1%	55091	True
ERR11506708	Mlw	KL127	G2/G3	High	1.9977	14	14	100.0%	28342	True
ERR11506718	Mlw	KL136	G2/G3	High	1.9978	17	17	100.0%	42684	True
ERR11506720	Mlw	KL336	G1/G4	High	1.9992	28	28	100.0%	61686	True
ERR11506722	Mlw	KL380	G1/G4	Moderate	1.8675	25	25	100.0%	49330	True
ERR11506726	Mlw	KL302	G1/G4	Moderate	1.8239	33	34	97.1%	55728	True
ERR11506761	Mlw	KL317	G1/G4	Moderate	1.8899	31	31	100.0%	61784	True
ERR11506763	Mlw	KL96	G2/G3	High	1.9991	17	17	100.0%	41016	True
ERR11506765	Mlw	KL127	G2/G3	High	1.9982	14	14	100.0%	28348	True
ERR11506783	Mlw	KL300	G1/G4	Moderate	1.7301	27	30	90.0%	58644	True
ERR11506785	Mlw	KL301	G1/G4	Moderate	1.7379	29	33	87.9%	52664	True
ERR11506787	Mlw	KL302	G1/G4	Moderate	1.8461	33	34	97.1%	56408	True
ERR11506789	Mlw	KL302	G1/G4	Moderate	1.822	33	34	97.1%	55670	True
ERR11506791	Mlw	KL131	G2/G3	High	1.9953	13	13	100.0%	33468	True
ERR11506792	Mlw	KL302	G1/G4	Moderate	1.8394	33	34	97.1%	56202	True
ERR11506794	Mlw	KL301	G1/G4	Moderate	1.8484	31	33	93.9%	56012	True
ERR11506796	Mlw	KL302	G1/G4	Moderate	1.8191	33	34	97.1%	55584	True
ERR11506797	Mlw	KL128	G2/G3	High	1.9874	11	11	100.0%	27366	True
ERR11506814	Mlw	KL302	G1/G4	Moderate	1.8396	33	34	97.1%	56208	True
ERR11506815	Mlw	KL303	G1/G4	Moderate	1.5989	36	40	90.0%	47488	True
ERR11506817	Mlw	KL131	G2/G3	High	1.9953	13	13	100.0%	33468	True
ERR11506818	Mlw	KL301	G1/G4	High	1.906	32	33	97.0%	57758	True
ERR11506819	Mlw	KL131	G2/G3	High	1.9953	13	13	100.0%	33468	True
ERR11506820	Mlw	KL2	G2/G3	High	1.9982	13	13	100.0%	33420	True
ERR11506821	Mlw	KL300	G1/G4	Low	1.4128	26	30	86.7%	47890	True
ERR11506822	Mlw	KL301	G1/G4	Moderate	1.8484	31	33	93.9%	56012	True
ERR11506823	Mlw	KL302	G1/G4	Moderate	1.7757	31	34	91.2%	54256	True
ERR11506824	Mlw	KL130	G2/G3	High	1.9843	13	13	100.0%	27544	True
ERR11506825	Mlw	KL127	G2/G3	High	1.9507	14	14	100.0%	27674	True
ERR11506826	Mlw	KL130	G2/G3	High	1.9847	13	13	100.0%	27550	True
ERR11506827	Mlw	KL96	G2/G3	High	1.9991	17	17	100.0%	41016	True
ERR11506828	Mlw	KL12	G2/G3	High	1.9996	12	12	100.0%	32058	True
ERR11506846	Mlw	KL130	G2/G3	High	1.9869	13	13	100.0%	27580	True
ERR11506847	Mlw	KL52	G2/G3	High	1.9987	14	14	100.0%	38370	True
ERR11506848	Mlw	KL12	G2/G3	Moderate	1.822	12	12	100.0%	29210	True
ERR11506849	Mlw	KL130	G2/G3	High	1.9886	13	13	100.0%	27604	True
ERR11506850	Mlw	KL127	G2/G3	High	1.9982	14	14	100.0%	28348	True
ERR11506851	Mlw	KL52	G2/G3	High	1.9987	14	14	100.0%	38370	True
ERR11506852	Mlw	KL130	G2/G3	High	1.9527	13	13	100.0%	27106	True
ERR11506853	Mlw	KL127	G2/G3	High	1.9982	14	14	100.0%	28348	True
ERR11506855	Mlw	KL302	G1/G4	Moderate	1.8325	33	34	97.1%	55992	True
ERR11506856	Mlw	KL301	G1/G4	Moderate	1.8482	31	33	93.9%	56006	True
ERR11506857	Mlw	KL131	G2/G3	High	1.9953	13	13	100.0%	33468	True
ERR11506858	Mlw	KL96	G2/G3	High	1.9988	17	17	100.0%	41010	True
ERR11506859	Mlw	KL315	G1/G4	High	1.9615	33	33	100.0%	64172	True
ERR11506860	Mlw	KL302	G1/G4	Moderate	1.8288	31	34	91.2%	55880	True
ERR11506861	Mlw	KL24	G2/G3	Moderate	1.8406	13	13	100.0%	26118	True
ERR11506878	Mlw	KL1	G2/G3	High	1.956	14	14	100.0%	30708	True
ERR11506879	Mlw	KL92	G2/G3	High	1.9885	14	14	100.0%	31218	True
ERR11506881	Mlw	KL127	G2/G3	High	1.998	14	14	100.0%	28346	True
ERR11506882	Mlw	KL301	G1/G4	Moderate	1.8484	31	33	93.9%	56012	True
ERR11506883	Mlw	KL300	G1/G4	Low	1.2338	22	30	73.3%	41822	True
ERR11506884	Mlw	KL52	G2/G3	High	1.9997	14	14	100.0%	38388	True
ERR11506885	Mlw	KL1	G2/G3	High	1.9992	14	14	100.0%	31386	True
ERR11506887	Mlw	KL329	G1/G4	High	1.9995	44	44	100.0%	66170	True
ERR11506888	Mlw	KL96	G2/G3	High	1.9991	17	17	100.0%	41016	True
ERR11506889	Mlw	KL301	G1/G4	Moderate	1.8898	32	33	97.0%	57266	True
ERR11506890	Mlw	KL130	G2/G3	High	1.9886	13	13	100.0%	27604	True
ERR11506891	Mlw	KL127	G2/G3	High	1.9982	14	14	100.0%	28348	True
ERR11506892	Mlw	KL130	G2/G3	High	1.9886	13	13	100.0%	27604	True
ERR11506893	Mlw	KL52	G2/G3	High	1.9991	14	14	100.0%	38376	True
ERR11506910	Mlw	KL301	G1/G4	Moderate	1.8484	31	33	93.9%	56012	True
ERR11506911	Mlw	KL1	G2/G3	High	1.9981	14	14	100.0%	31368	True
ERR11506912	Mlw	KL2	G2/G3	High	1.9982	13	13	100.0%	33420	True
ERR11506913	Mlw	KL302	G1/G4	Moderate	1.8102	33	34	97.1%	55312	True
ERR11506914	Mlw	KL302	G1/G4	Moderate	1.8063	33	34	97.1%	55192	True
ERR11506915	Mlw	KL130	G2/G3	High	1.9718	13	13	100.0%	27370	True
ERR11506919	Mlw	KL301	G1/G4	Moderate	1.8484	31	33	93.9%	56012	True
ERR11506920	Mlw	KL7	G2/G3	High	1.9398	15	15	100.0%	33474	True
ERR11506921	Mlw	KL302	G1/G4	Moderate	1.7928	33	34	97.1%	54780	True
ERR11506922	Mlw	KL130	G2/G3	High	1.9718	13	13	100.0%	27370	True
ERR11506924	Mlw	KL96	G2/G3	High	1.9991	17	17	100.0%	41016	True
ERR11506925	Mlw	KL2	G2/G3	High	1.9978	13	13	100.0%	33414	True
ERR11506943	Mlw	KL302	G1/G4	Moderate	1.7757	31	34	91.2%	54256	True
ERR11506944	Mlw	KL348	G1/G4	Moderate	1.886	27	27	100.0%	55872	True
ERR11506946	Mlw	KL156	G2/G3	High	1.9932	15	15	100.0%	34556	True
ERR11506947	Mlw	KL12	G2/G3	High	1.9996	12	12	100.0%	32058	True
ERR11506948	Mlw	KL302	G1/G4	Moderate	1.7623	31	34	91.2%	53848	True
ERR11506949	Mlw	KL138	G2/G3	High	1.9993	12	12	100.0%	30056	True
ERR11506951	Mlw	KL12	G2/G3	High	2.0	12	12	100.0%	32064	True
ERR11506952	Mlw	KL365	G1/G4	High	1.9616	29	29	100.0%	55876	True
ERR11506953	Mlw	KL114	G2/G3	High	1.9995	11	11	100.0%	24822	True
ERR11506954	Mlw	KL301	G1/G4	Moderate	1.8484	31	33	93.9%	56012	True
ERR11506955	Mlw	KL127	G2/G3	High	1.9507	14	14	100.0%	27674	True
ERR11506956	Mlw	KL379	G1/G4	High	1.9944	25	25	100.0%	52436	True
ERR11506957	Mlw	KL127	G2/G3	High	1.9977	14	14	100.0%	28342	True
ERR11506974	Mlw	KL302	G1/G4	Moderate	1.8459	33	34	97.1%	56400	True
ERR11506975	Mlw	KL117	G2/G3	High	1.9987	10	10	100.0%	27546	True
ERR11506977	Mlw	KL130	G2/G3	High	1.9869	13	13	100.0%	27580	True
ERR11506978	Mlw	KL130	G2/G3	High	1.9856	13	13	100.0%	27562	True
ERR11506979	Mlw	KL301	G1/G4	Moderate	1.8484	31	33	93.9%	56012	True
ERR11506981	Mlw	KL127	G2/G3	High	1.9982	14	14	100.0%	28348	True
ERR11506982	Mlw	KL96	G2/G3	High	1.9988	17	17	100.0%	41010	True
ERR11506983	Mlw	KL372	G1/G4	Moderate	1.8856	25	25	100.0%	51528	True
ERR11506984	Mlw	KL381	G1/G4	Moderate	1.8894	25	25	100.0%	49518	True
ERR11506985	Mlw	KL127	G2/G3	High	1.9982	14	14	100.0%	28348	True
ERR11506986	Mlw	KL52	G2/G3	High	2.0	14	14	100.0%	38394	True
ERR11506987	Mlw	KL302	G1/G4	Moderate	1.7922	31	34	91.2%	54760	True
ERR11506988	Mlw	KL130	G2/G3	High	1.9882	13	13	100.0%	27598	True
ERR11506989	Mlw	KL336	G1/G4	High	1.999	28	28	100.0%	61678	True
ERR11507006	Mlw	KL127	G2/G3	High	1.9982	14	14	100.0%	28348	True
ERR11507007	Mlw	KL302	G1/G4	Moderate	1.7803	33	34	97.1%	54396	True
ERR11507008	Mlw	KL337	G1/G4	Moderate	1.6612	33	38	86.8%	47428	True
ERR11507009	Mlw	KL302	G1/G4	Moderate	1.7966	31	34	91.2%	54894	True
ERR11507010	Mlw	KL379	G1/G4	High	1.9332	25	25	100.0%	50828	True
ERR11507011	Mlw	KL329	G1/G4	High	1.9997	44	44	100.0%	66176	True
ERR11507012	Mlw	KL317	G1/G4	High	1.9306	31	31	100.0%	63114	True
ERR11507013	Mlw	KL337	G1/G4	Moderate	1.619	34	38	89.5%	46224	True
ERR11507014	Mlw	KL2	G2/G3	High	1.9986	13	13	100.0%	33426	True
ERR11507015	Mlw	KL301	G1/G4	Moderate	1.8484	31	33	93.9%	56012	True
ERR11507016	Mlw	KL96	G2/G3	High	1.9988	17	17	100.0%	41010	True
ERR11507017	Mlw	KL127	G2/G3	High	1.9977	14	14	100.0%	28342	True
ERR11507018	Mlw	KL302	G1/G4	Moderate	1.799	31	34	91.2%	54968	True
ERR11507019	Mlw	KL303	G1/G4	Moderate	1.6005	36	40	90.0%	47536	True
ERR11507020	Mlw	KL381	G1/G4	Moderate	1.8748	25	25	100.0%	49134	True
ERR11507021	Mlw	KL327	G1/G4	Moderate	1.8341	33	33	100.0%	56284	True
ERR11507037	Mlw	KL12	G2/G3	High	1.9996	12	12	100.0%	32058	True
ERR11525319	Mlw	KL16	G2/G3	High	1.9991	11	11	100.0%	27216	True
ERR11525392	Mlw	KL388	G1/G4	High	2.0	30	30	100.0%	63540	True
ERR11525393	Mlw	KL302	G1/G4	Moderate	1.7765	31	34	91.2%	54282	True
ERR11525394	Mlw	KL127	G2/G3	High	1.9986	14	14	100.0%	28354	True
ERR11525395	Mlw	KL359	G1/G4	Moderate	1.8895	27	27	100.0%	52672	True
ERR11525396	Mlw	KL302	G1/G4	Moderate	1.8025	33	34	97.1%	55076	True
ERR11525397	Mlw	KL379	G1/G4	High	1.9948	25	25	100.0%	52448	True
ERR11525398	Mlw	KL302	G1/G4	Moderate	1.8333	33	34	97.1%	56016	True
ERR11525416	Mlw	KL337	G1/G4	Moderate	1.6898	33	38	86.8%	48246	True
ERR11525417	Mlw	KL16	G2/G3	High	1.9991	11	11	100.0%	27216	True
ERR11525418	Mlw	KL302	G1/G4	Moderate	1.8455	33	34	97.1%	56390	True
ERR11525419	Mlw	KL92	G2/G3	High	1.9223	14	14	100.0%	30178	True
ERR11525420	Mlw	KL303	G1/G4	Moderate	1.578	36	40	90.0%	46868	True
BC0265-IDRL-AKU_S88	Pakistan	KL13	G2/G3	High	2.0	10	10	100.0%	26730	True
BL102214-IDRL-AKU_S255	Pakistan	KL118	G2/G3	High	1.9078	12	12	100.0%	26888	True
BL111559-IDRL-AKU_S100	Pakistan	KL303	G1/G4	Moderate	1.5484	36	40	90.0%	45988	True
BL111928-IDRL-AKU_S99	Pakistan	KL303	G1/G4	Moderate	1.5134	35	40	87.5%	44947	True
BL17663-IDRL-AKU_S92	Pakistan	KL344	G1/G4	High	1.9377	30	30	100.0%	58998	True
BL22077-IDRL-AKU_S93	Pakistan	KL302	G1/G4	Moderate	1.7958	31	34	91.2%	54872	True
BL2647-IDRL-AKU_S83	Pakistan	KL93	G2/G3	High	1.9335	15	15	100.0%	37146	True
BL43686-IDRL-AKU_S89	Pakistan	KL302	G1/G4	Moderate	1.8178	31	34	91.2%	55542	True
